List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Software Developers,6/17/2022 0:00,7,0,2021 local software revenue,7713736,Computers and Technology,Leap,8820 Columbia 100 Parkway,Columbia,Maryland,21045,39.2306043,-76.8130538,,105,# employees,2022-Q2,6/1/2022,7713736,"Revenue, Companywide",2021,6/1/2022,"Leap is a subscription-based software that home service contractors use to digitize their business. Used by thousands of top home improvement professionals, Leap eliminates redundancies and errors that slow down the typical sales process, bringing efficiency and transparency to the home improvement purchasing experience."
Software Developers,6/17/2022 0:00,8,0,2021 local software revenue,6000000,Computers and Technology,Barcoding Inc.,3840 Bank Street,Baltimore,Maryland,21224,39.2880015,-76.5639047,1998,137,# employees,2022-Q4,2/2/2022,148000000,Revenue,2021,6/10/2022,Designs develop and deploy advanced supply chain technology solutions for industry.
Software Developers,6/17/2022 0:00,8,0,2021 local software revenue,6000000,Computers and Technology,Barcoding Inc.,3840 Bank Street,Baltimore,Maryland,21224,39.2880015,-76.5639047,1998,137,# employees,2022-Q4,2/2/2022,148000000,Revenue,2021,6/10/2022,Designs develop and deploy advanced supply chain technology solutions for industry.
Software Developers,6/17/2022 0:00,9,9,2021 local software revenue,5000000,Computers and Technology,Intelliforce-IT Solutions Group LLC,7831 Gregamin Court,Ellicott City,Maryland,21043,39.2368113,-76.7800426,,44,# employees,2022-Q2,6/9/2022,9000000,"Revenue, Companywide",2021,6/9/2022,"Intelliforce-IT Solutions Group is a woman-owned small business founded in Maryland to provide high quality information technology solutions for the intelligence community. We are committed to providing technical excellence in the areas of big data analytics, artificial intelligence, machine learning, data visualization, and cybersecurity."
Software Developers,6/17/2022 0:00,10,12,2021 local software revenue,4600000,Computers and Technology,Alexander & Tom Inc.,3500 Boston St.,Baltimore,Maryland,21224,39.2777376,-76.5670507,1996,21,# employees,2022-Q3,8/8/2022,3700000,"Revenue, Companywide",2021,6/7/2022,"Alexander & Tom, Inc. (A+T) is a digital consulting firm. We develop advanced web-based solutions for corporations, associations, non-profit organizations, and federal government agencies. We have been creating innovative web-based business solutions for over 20 years. Our skills and expertise spans across the fields of communication, web technology, user experience design (UX), marketing, and marketing automation. We help solve our clientâ€™s critical digital and online business needs."
Software Developers,6/17/2022 0:00,10,12,2021 local software revenue,4600000,Computers and Technology,Alexander & Tom Inc.,3500 Boston St.,Baltimore,Maryland,21224,39.2777376,-76.5670507,1996,21,# employees,2022-Q3,8/8/2022,3700000,"Revenue, Companywide",2021,6/7/2022,"Alexander & Tom, Inc. (A+T) is a digital consulting firm. We develop advanced web-based solutions for corporations, associations, non-profit organizations, and federal government agencies. We have been creating innovative web-based business solutions for over 20 years. Our skills and expertise spans across the fields of communication, web technology, user experience design (UX), marketing, and marketing automation. We help solve our clientâ€™s critical digital and online business needs."
Software Developers,6/17/2022 0:00,11,11,2021 local software revenue,4188947,Computers and Technology,Kermit,11350 McCormick Road,Hunt Valley,Maryland,21031,39.4939384,-76.6605713,,26,# employees,2022-Q2,6/8/2022,6342225,"Revenue, Companywide",2021,6/8/2022,Cost reduction and spend management software and services for hospitals and health systems in the area of implantable medical device procurement and utilization (physician preference items).
Software Developers,6/17/2022 0:00,12,16,2021 local software revenue,3000000,Computers and Technology,Purview,2001 Tidewater Colony,Annapolis,Maryland,21401,38.996633,-76.521045,2005,30,# employees,2022,6/13/2022,3000000,Revenue,2021,6/13/2022,Purview is a health tech SaaS company that provides remote immediate access to medical records for diagnosis or treatment with the mission of improving medical outcomes.
Software Developers,6/17/2022 0:00,13,13,2021 local software revenue,1500000,Computers and Technology,Thorn Technologies LLC,9175 Guilford Road,Columbia,Maryland,21046,39.1671352,-76.8411706,2008,10,# employees,2022,1/25/2022,1411292,"Revenue, Companywide",2021,6/20/2022,"We provide cloud computing consulting services, big data and data warehouse analytics solutions and enterprise software product development services."
Software Developers,6/17/2022 0:00,14,13,2021 local software revenue,1200000,Computers and Technology,Metro Data Inc.,207 Old Padonia Road,Cockeysville,Maryland,21030,39.4568744,-76.6379818,1994,7,# employees,2022-Q2,6/7/2022,1500000,"Revenue, Companywide",2021,6/7/2022,"Managed I.T.  Security.  Cloud.  Strategic Consulting. Custom Web Apps
Metro Data, Inc. is a leading Information Systems & Services firm that works exclusively with business clients to develop and apply customized technology solutions that accomplish a client's strategic goals. 2021 marks our 27th year in business."
Software Developers,6/17/2022 0:00,15,0,2021 local software revenue,750000,Computers and Technology,G3 Group Agency LLC,6531 Corkley Road,Baltimore,Maryland,21237,39.3367971,-76.5063009,1984,5,# employees,2022-Q2,6/20/2022,1500000,"Revenue, Companywide",2021,6/14/2022,"The G3 Group Agency, LLC is a woman-owned company with a results-oriented team providing web design & development and digital marketing. We have a strong commitment to transparency, fair pricing & honest solutions."
Software Developers,6/17/2022 0:00,16,15,2021 local software revenue,649333.88,Computers and Technology,Theta LLC,8 Market Place,Baltimore,Maryland,21202,39.283637,-76.6003226,,8,# employees,2021,6/15/2021,649333.88,Revenue,2021,6/9/2022,"Digital Services Sub-contracts, Management consulting Prime Contract(s)"
Software Developers,6/17/2022 0:00,16,15,2021 local software revenue,649333.88,Computers and Technology,Theta LLC,8 Market Place,Baltimore,Maryland,21202,39.283637,-76.6003226,,8,# employees,2021,6/15/2021,649333.88,Revenue,2021,6/9/2022,"Digital Services Sub-contracts, Management consulting Prime Contract(s)"
